ID,Linea,Inauguracion,Transbordo,Afluencia_Anual_2025,Afluencia_Diaria_Promedio,Elevador,EE,Elevador_y_EE
Lagunilla,B,1999,0,6643320,18201,No,No,0
Morelos,B,1999,1,1638227,4488,No,Si,0
Muzquiz,B,2000,0,8737675,23939,No,No,0
Nezahuacoyotl,B,2000,0,6654636,18232,No,No,0
Oceania,B,1999,1,2790788,7646,No,No,0
Olimpica,B,2000,0,5348246,14653,No,No,0
Plaza_Aragon,B,2000,0,5752437,15760,No,No,0
Ricargo_Flores_Magon,B,1999,0,2086568,5717,No,No,0
Rio_de_los_Remedios,B,2000,0,5506549,15086,No,No,0
Romero_Rubio,B,1999,0,5104462,13985,No,No,0
San_Lazaro,B,1999,1,5198567,14243,Si,Si,1
Tepito,B,1999,0,6862870,18802,No,No,0
Villa_de_Aragon,B,1999,0,4649544,12738,No,No,0
